Number,Name,Radius,Type,GM,Density,Mass,Mass 1e24
0,Mercury,2439.7,,22032.09,,3.3018755737E+23,0.3301875574
0,Venus,6051.8,,324858.592,,4.8685469686E+24,4.8685469686
0,Earth,6371,,398600.4362,,5.9736913023E+24,5.9736913023
0,Mars,3389.5,,42828.37521,,6.4185452210E+23,0.6418545221
0,Jupiter,69911,,126712764.8,,1.8990017877E+27,1899.0017876844
0,Saturn,58232,,37940585.2,,5.6860284940E+26,568.6028493997
0,Uranus,25362,,5794548.6,,8.6840960085E+25,86.8409600847
0,Neptune,24622,,6836535,,1.0245686145E+26,102.4568614461
0,Pluto,1195,,977,,1.4641971939E+22,0.0146419719
90377,Sedna,995,,,,1.0000000000E+21,0.0010000000
136199,Eris,1163,,,,1.67E+22,0.0167000000
136472,Makemake,1430,,,,3.00E+21,0.0030000000
136108,Haumea,690,,,,4.20E+21,0.0042000000
84522,2002TC302,1145,,,,1.67E+21,0.0016700000
90482,Orcus,807,,,,6.41E+20,0.0006410000
50000,Quaoar,1170,,,,1.60E+21,0.0016000000
225088,2007OR10,1280,,,,1.60E+21,0.0016000000
0,Sun,696342,,1.32712E+11,,1.9889169121E+30,1988916.9120687200
0,Earth-Moon,6371,,403503.2363,,6.0471679258E+24,6.0471679258
0,Moon,1737.1,,4902.800076,,7.3476623477E+22,0.0734766235
1,Ceres,474,G,62.178,2.1,9.3184087129E+20,0.0009318409
2,Pallas,266,B,13.402,2.5,2.0085128755E+20,0.0002008513
3,Juno,117,Sk,1.536,3.4,2.3019517809E+19,0.0000230195
4,Vesta,265,V,17.63,3.4,2.6421490818E+20,0.0002642149
5,Astraea,59.5,S,0.159,2.7,2.3828797731E+18,0.0000023829
6,Hebe,92.6,S,0.605,2.7,9.0669324702E+18,0.0000090669
7,Iris,99.9,S,0.796,2.9,1.1929385531E+19,0.0000119294
8,Flora,67.9,S,0.236,2.7,3.5368529966E+18,0.0000035369
9,Metis,95,S,0.567,2.4,8.4974391910E+18,0.0000084974
10,Hygiea,203.6,C,5.364,2.3,8.0388472347E+19,0.0000803885
11,Parthenope,77.7,S,0.356,2.7,5.3352528254E+18,0.0000053353
13,Egeria,103.8,C,0.412,1.3,6.1745060789E+18,0.0000061745
14,Irene,76,S,0.348,2.8,5.2153595035E+18,0.0000052154
15,Eunomia,127.7,S,1.638,2.8,2.4548157663E+19,0.0000245482
16,Psyche,126.6,M,2.233,3.9,3.3465223481E+19,0.0000334652
18,Melpomene,70.3,S,0.267,2.7,4.0014396191E+18,0.0000040014
19,Fortuna,100,Ch,0.463,1.7,6.9388260061E+18,0.0000069388
20,Massalia,72.8,S,0.291,2.7,4.3611195848E+18,0.0000043611
21,Lutetia,47.9,M,0.139,4.5,2.0831464684E+18,0.0000020831
22,Kalliope,90.5,M,0.491,2.4,7.3584526328E+18,0.0000073585
23,Thalia,53.8,S,0.129,3,1.9332798160E+18,0.0000019333
24,Themis,99,C,0.403,1.5,6.0396260917E+18,0.0000060396
25,Phocaea,37.6,S,0.04,2.7,5.9946660960E+17,0.0000005995
27,Euterpe,48,S,0.084,2.7,1.2588798802E+18,0.0000012589
28,Bellona,60.5,S,0.165,2.7,2.4727997646E+18,0.0000024728
29,Amphitrite,106.1,S,0.906,2.7,1.3577918707E+19,0.0000135779
30,Urania,49.8,S,0.095,2.7,1.4237331978E+18,0.0000014237
31,Euphrosyne,128,C,1.139,1.9,1.7069811708E+19,0.0000170698
41,Daphne,87,Ch,0.527,2.9,7.8979725814E+18,0.0000078980
42,Isis,50.1,S,0.092,2.6,1.3787732021E+18,0.0000013788
45,Eugenia,107.3,C,0.397,1.2,5.9497061003E+18,0.0000059497
51,Nemausa,73.9,C,0.144,1.3,2.1580797946E+18,0.0000021581
52,Europa,151.3,C,1.354,1.4,2.0291944735E+19,0.0000202919
60,Echo,30.1,S,0.021,2.7,3.1471997004E+17,0.0000003147
63,Ausonia,51.6,S,0.102,2.7,1.5286398545E+18,0.0000015286
65,Cybele,118.6,C,0.694,1.5,1.0400745677E+19,0.0000104007
69,Hesperia,69.1,M,0.414,4.5,6.2044794093E+18,0.0000062045
78,Diana,60.3,C,0.085,1.4,1.2738665454E+18,0.0000012739
94,Aurora,102.4,C,0.414,1.4,6.2044794093E+18,0.0000062045
97,Klotho,41.4,M,0.089,4.5,1.3338132064E+18,0.0000013338
98,Ianthe,52.2,C,0.055,1.4,8.2426658820E+17,0.0000008243
105,Artemis,59.5,C,0.088,1.5,1.3188265411E+18,0.0000013188
111,Ate,67.3,C,0.116,1.4,1.7384531678E+18,0.0000017385
135,Hertha,39.6,M,0.078,4.5,1.1689598887E+18,0.0000011690
139,Juewa,78.3,C,0.188,1.4,2.8174930651E+18,0.0000028175
145,Adeona,75.6,C,0.151,1.3,2.2629864512E+18,0.0000022630
187,Lamberta,65.6,C,0.105,1.3,1.5735998502E+18,0.0000015736
192,Nausikaa,51.6,S,0.107,2.8,1.6035731807E+18,0.0000016036
194,Prokne,84.2,C,0.182,1.1,2.7275730737E+18,0.0000027276
216,Kleopatra,62,M,0.299,4.5,4.4810129067E+18,0.0000044810
230,Athamantis,54.5,S,0.126,2.8,1.8883198202E+18,0.0000018883
324,Bamberga,114.5,CP,0.661,1.6,9.9061857236E+18,0.0000099062
337,Devosa,29.6,M,0.033,4.5,4.9455995292E+17,0.0000004946
344,Desiderata,66.1,C,0.114,1.4,1.7084798374E+18,0.0000017085
354,Eleonora,77.6,Sl,0.327,2.5,4.9006395335E+18,0.0000049006
372,Palma,94.3,C,0.355,1.5,5.3202661602E+18,0.0000053203
405,Thia,62.5,C,0.092,1.4,1.3787732021E+18,0.0000013788
409,Aspasia,80.8,C,0.216,1.5,3.2371196918E+18,0.0000032371
